ID,Current_Job,Qualification,Years_of_experience,Industry
1, Web Developer,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",11,Advertising & Marketing
2, Business Developer ,"Cisco Certified Network Associate (CCNA), CompTIA Security+",3,Logistics & Transportation
3, Web Developer & Product Design (UI ...,Certified Clinical Research Professional (CCRP),5,Food & Beverage
4, Business Developer ,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",9,Consumer Products & Services
5, Project Delivery Manager ,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",5,Retail
6, Web Developer ,Certified SolidWorks Associate (CSWA),4,Health
7, Intermediate Web Developer,Microsoft Certified: Azure Fundamentals,7,Consumer Products & Services
8," Business Developer, Technical writer",Google Data Analytics Professional Certificate,5,Telecommunications
9, Web Developer ,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",5,Health
10, Full Stack Web Developer ,"LEED Green Associate, Certified Environmental Professional (CEP)",6,Advertising & Marketing
11, Software Engineer ,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",5,Consumer Products & Services
12, Business Developer in a Retail Company,Biomedical Engineering Certificate,4,Logistics & Transportation
13, Business Developer/Digital marketer,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",12,Food & Beverage
14, Lead Business Developer & marketing,Teaching English as a Foreign Language (TEFL),8,Financial Services
15, Business Developer ,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",2,Advertising & Marketing
16, Web Developer ,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Advertising & Marketing
17, Web Developer ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",7,Financial Services
18, Web Developer and CTO ,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",3,Consumer Products & Services
19, Web Developer ,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",10,Health
20, Web Developer ,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",7,Consumer Products & Services
21, Full Stack Developer ,"National Board Certification (NBCT), Google Certified Educator",8,Health
22, Web Developer ,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",10,Computer Hardware
23, Business developer ,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Software
24, Freelance Web Developer ,"Certified Mediator, Certified Ethical Hacker (CEH)",3,Software
25, Founder ,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",10,Software
26, Community Manager ,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",10,Energy
27, Web Developer ,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",6,Government Services
28, Mobile Application Developer ,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",10,Real Estate
29, Senior Web Engineer ,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",15,Software
30, Software Developer ,"Certified Stage Combatant, Actor's Equity Association Membership",5,Health
31, Senior Business Developer,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",5,Real Estate
32, Junior Developer ,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",5,Consumer Products & Services
33, Frontend Web Developer ,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",3,Manufacturing
34, Frontend Developer,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",12,Media
35, Back End Developer,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",10,Logistics & Transportation
36, DevOps Developer ,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",5,Construction
37, Project Lead ,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",7,Consumer Products & Services
38, Power Platform Developer,"National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",3,Real Estate
39, Senior Business Developer ,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",7,Construction
40, Business Developer ,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",10,IT System Development
41, Software Engineer ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Retail
42, Managing Director ,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",0,Real Estate
43, Software Developer,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",6,Travel & Hospitality
44, Frontend Developer ,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",10,Advertising & Marketing
45, Associate ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",3,Construction
46, Assistant Sales Representative,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Software
47, Back End Developer ,"Google Ads Certification, Facebook Blueprint Certification",9,Security
48, Founder ,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",0,IT Management
49, Code Reviewer ,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",10,Health
50, Head Of Administration ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",4,Human Resources
51, Ambassador ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",0,Financial Services
52, Chief Technology Officer,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",10,Software
53, Founder ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Environmental Services
