Programme_ID,Programme_name,School_Name,Specialization,Programme_requirement,Programme_Duration,Program_Format,Tuition,Study_Format,University_Type,Country,location,Number_of_Campuses,Established_in_the_year,Ranking_details,University_Website,Program_Category ,Program_Specialization,Total_Number_of_Programs,Document_Requirements,Eligibility_Criteria,Number_of_Nationalities_studying,Fee_Range,Applications_Fees,Intake_details,Online_Programs_Available,USPs_of_the_university,Pathway_Available,Student_ID,Undergraduate_GPA,GRE_Score,TOEFL_Score,Major,Research_Experience,Career_Aspiration
10001,MSc Chemistry,Manipal University Jaipur,Science,Candidate must have passed BSc degree from recognized University / Institution or equivalent qualification as recognized by Association of Indian Universities (AIU) or other competent body with minimum of 50% marks in aggregate.,2 years,Full time,"$2,650",Online,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,837,3.7,320.00,110,Computer Science,Yes,AI Engineer
10002,M.Tech Data Science,Manipal University Jaipur,Science,"The candidates must have passed B Tech/BE/AMIE in CSE, IT, CCE, ECE, EEE, Information Science or M.Sc. Computer Science or IT or Information Science with minimum 50% marks in aggregate or equivalent CGPA.",2 years,Full time,Not available,Online,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,583,3.9,325.00,115,Electrical Engineering,Yes,Engineer
10003,M.Tech Energy Science & Technology,Manipal University Jaipur,Tech,At least 50% aggregate marks in any branch of Engineering or master’s degree in Energy/Physics/Chemistry/Environment Science/ Environment Engineering.,2 years,Full time,Not available,Online & On-campus,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,689,3.5,310.00,105,Biology,No,Clinical geneticist
10004,M.Tech Industrial Automation and Robotics,Manipal University Jaipur,Tech,B. Tech /BE in Electronics/ Mechanical/Mechatronics/ Electrical/ CSE/ Instrumentation & Control Engineering / EEE with minimum 55% marks. Or equivalent.,2 years,Full time,Not available,On-campus,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,525,3.8,330.00,120,Psychology,Yes,Clinical Psychologist
10005,Master of Human Resource Management (MHRM),Manipal University Jaipur,Business,"The candidate must have a Bachelor’s degree (those who are pursuing must submit the evidence of passing by October 31, 2023) in any discipline from a recognized university with a minimum of 50% marks in aggregate and valid score from any aptitude test (CAT / MAT / CMAT / XAT / GMAT).",2 years,Full time,Not available,Online,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,985,3.6,315.00,108,Economics,Yes,Behavioral economist
1045343006,Master of Science in Business Analytics (MSBA),Manipal University Jaipur,Business,"The candidate should have passed graduate or its equivalent in any discipline (preferably students with maths in 10+2 and graduate from Engineering, Science, Computer Applications, Economics) with minimum 50% marks in aggregate. The selection will be based on the career and interview with equal weightage.",2 years,Full time,Not available,Online,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,705,3.7,322.00,112,Mechanical Engineering,Yes,Robotic Engineer
10007,MSc Cell and Molecular Biology,Manipal University Jaipur,Tech,Candidate must have passed BSc degree from recognized University / Institution or equivalent qualification as recognized by Association of Indian Universities (AIU) or other competent body with minimum of 50% marks in aggregate.,2 years,Not available,Not available,Online,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,770,3.9,328.00,118,Physics,No,Physicist
10008,"M.Tech Computer Science and Engineering (Artificial
Intelligence & Machine Learning)",Manipal University Jaipur,Tech,"B. Tech/B.E or AMIE in CSE, CE, IT, ISE, AIML and equivalent branch of Engineering/ MCA/MSc(IT) with minimum 50% marks in aggregate or Passed Four year Bachelor’s Degree or equivalent in the relevant field. Obtained at least 50% marks (45% marks in case of candidates belonging to reserved category) in the qualifying examination",2 years,Not available,Not available,Online & On-campus,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,630,3.4,305.00,102,Mathematics,Yes,Data Scientist
112233,Master of Science in Business Management (MSB),Manipal University Jaipur,Business,"Candidates must have a 10 + 2 + 3-year bachelor’s degree from a recognized university/institution or an equivalent qualification as recognized by the Association of Indian Universities.
Candidates who have completed 10+2 education or graduate level education outside India must produce a certificate of equivalence issued by the Association of Indian Universities.",2 years,Full time,$1180,On-campus,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,245,3.8,335.00,122,Chemistry,Yes,Research Scientist
10010,MASTER OF COMMERCE IN FINANCIAL ANALYSIS,Manipal University Jaipur,Business,A candidate for being eligible for admission to the Master course in M.Com shall have passed B.Com from any university with a minimum of 50% marks.,2 years,Full time,"$4,280",On-campus,Private,India,Jaipur in Rajasthan,1,2011,#1 best in online MBA in India,jaipur.manipal.edu,"Masters, Bachelors and Diploma","Engineering, Business, Design, Arts and 
Humanities",52,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",A 10+2 and a minimum 50% marks,60,"15,000 - 45,000$",NA,January and september,Yes,1: Best for online programs in India 2: Learn from any where in the world 3: Get a certificate that can be use any where,NA,706,3.6,318.00,110,Environmental Science,No,Environmental Activist
